east_phi,west_phi,east_r,west_r
2.96697,3.35967,13.87499,13.87499
3.05423,3.44693,13.87500,13.87498
3.14150,3.53420,13.87500,13.87497
3.22877,3.62146,13.87500,13.87502
3.31603,3.70873,13.87499,13.87504
3.40330,3.79600,13.87498,13.87501
3.49057,3.88327,13.87497,13.87498
3.57783,3.97053,13.87498,13.87498
3.66510,4.05780,13.87500,13.87501
3.75237,4.14507,13.87497,13.87504
3.83963,4.23233,13.87503,13.87502
3.92690,4.31960,13.87500,13.87497
4.01417,4.40686,13.87503,13.87498
4.10143,4.49413,13.87497,13.87499
4.18870,4.58140,13.87500,13.87500
4.27596,4.66866,13.87498,13.87501
4.36323,4.75604,13.87497,13.87501
4.45050,4.84330,13.87498,13.87500
4.53776,4.93057,13.87499,13.87499
4.62503,5.01784,13.87500,13.87498
4.71230,5.10510,13.87500,13.87497
4.79967,5.19237,13.87500,13.87502
4.88694,5.27963,13.87499,13.87504
4.97420,5.36690,13.87498,13.87501
5.06147,5.45417,13.87497,13.87498
5.14874,5.54143,13.87498,13.87498
5.23600,5.62870,13.87500,13.87501
5.32327,5.71597,13.87497,13.87504
5.41053,5.80324,13.87503,13.87502
5.49780,5.89050,13.87500,13.87497
5.58507,5.97777,13.87503,13.87498
5.67233,6.06503,13.87497,13.87499
5.75960,6.15230,13.87500,13.87500
5.84687,6.23957,13.87498,13.87501
5.93413,0.04363,13.87497,13.87501
6.02140,0.13090,13.87498,13.87500
6.10867,0.21817,13.87499,13.87499
6.19593,0.30543,13.87500,13.87498
0.03927,0.39270,15.00997,15.00997
0.11781,0.47124,15.01004,15.00999
0.19635,0.54978,15.01001,15.00997
0.27489,0.62832,15.01004,15.00997
0.35343,0.70686,15.01005,15.01001
0.43197,0.78540,15.00997,15.01004
0.51051,0.86394,15.01003,15.01001
0.58905,0.94248,15.01003,15.00997
0.66759,1.02102,15.00999,15.00997
0.74613,1.09956,15.01001,15.00999
0.82467,1.17810,15.01001,15.00997
0.90321,1.25664,15.00999,15.01004
0.98175,1.33518,15.01003,15.01003
1.06029,1.41372,15.01003,15.01000
1.13883,1.49226,15.00997,15.00997
1.21737,1.57080,15.01005,15.01000
1.29591,1.64924,15.01004,15.00997
1.37445,1.72778,15.01001,15.01000
1.45299,1.80632,15.01004,15.01003
1.53153,1.88486,15.00997,15.01004
1.60997,1.96340,15.00997,15.00997
1.68851,2.04194,15.01004,15.00999
1.76705,2.12048,15.01001,15.00997
1.84559,2.19902,15.01004,15.00997
1.92413,2.27756,15.01005,15.01001
2.00267,2.35610,15.00997,15.01004
2.08121,2.43464,15.01003,15.01001
2.15975,2.51318,15.01003,15.00997
2.23829,2.59172,15.00999,15.00997
2.31683,2.67026,15.01001,15.00999
2.39537,2.74880,15.01001,15.00997
2.47391,2.82734,15.00999,15.01004
2.55245,2.90588,15.01003,15.01003
2.63099,2.98442,15.01003,15.01000
2.70953,3.06296,15.00997,15.00997
2.78807,3.14150,15.01005,15.01000
2.86661,3.22004,15.01004,15.00997
2.94515,3.29858,15.01001,15.01000
3.02369,3.37712,15.01004,15.01003
3.10223,3.45566,15.00997,15.01004
3.18077,3.53420,15.00997,15.00997
3.25931,3.61274,15.01004,15.00999
3.33785,3.69128,15.01001,15.00997
3.41639,3.76982,15.01004,15.00997
3.49493,3.84836,15.01005,15.01001
3.57347,3.92690,15.00997,15.01004
3.65201,4.00544,15.01003,15.01001
3.73055,4.08398,15.01003,15.00997
3.80909,4.16252,15.00999,15.00997
3.88763,4.24106,15.01001,15.00999
3.96617,4.31960,15.01001,15.00997
4.04471,4.39814,15.00999,15.01004
4.12325,4.47668,15.01003,15.01003
4.20179,4.55522,15.01003,15.01000
4.28033,4.63376,15.00997,15.00997
4.35887,4.71230,15.01005,15.01000
4.43741,4.79094,15.01004,15.00997
4.51595,4.86948,15.01001,15.01000
4.59449,4.94802,15.01004,15.01003
4.67303,5.02656,15.00997,15.01004
4.75167,5.10510,15.00997,15.00997
4.83021,5.18364,15.01004,15.00999
4.90875,5.26218,15.01001,15.00997
4.98729,5.34072,15.01004,15.00997
5.06583,5.41926,15.01005,15.01001
5.14437,5.49780,15.00997,15.01004
5.22291,5.57634,15.01003,15.01001
5.30145,5.65488,15.01003,15.00997
5.37999,5.73342,15.00999,15.00997
5.45853,5.81196,15.01001,15.00999
5.53707,5.89050,15.01001,15.00997
5.61561,5.96904,15.00999,15.01004
5.69415,6.04758,15.01003,15.01003
5.77269,6.12612,15.01003,15.01000
5.85123,6.20466,15.00997,15.00997
5.92977,6.28320,15.01005,15.01000
6.00831,0.07854,15.01004,15.00997
6.08685,0.15708,15.01001,15.01000
6.16539,0.23562,15.01004,15.01003
6.24393,0.31416,15.00997,15.01004
6.28320,0.35343,16.16000,16.16003
0.07854,0.43197,16.16002,16.16001
0.15708,0.51051,16.15996,16.15997
0.23562,0.58905,16.16000,16.15996
0.31416,0.66759,16.16002,16.16001
0.39270,0.74613,16.16000,16.16002
0.47124,0.82467,16.16003,16.16002
0.54978,0.90321,16.16003,16.16001
0.62832,0.98175,16.15999,16.15996
0.70686,1.06029,16.16004,16.15997
0.78540,1.13883,16.15994,16.16001
0.86394,1.21737,16.16004,16.16003
0.94248,1.29591,16.15999,16.16002
1.02102,1.37445,16.16003,16.16001
1.09956,1.45299,16.16003,16.16001
1.17810,1.53153,16.16000,16.15996
1.25664,1.60997,16.16002,16.15996
1.33518,1.68851,16.16000,16.16001
1.41372,1.76705,16.15996,16.16001
1.49226,1.84559,16.16002,16.16002
1.57080,1.92413,16.16000,16.16003
1.64924,2.00267,16.16002,16.16001
1.72778,2.08121,16.15996,16.15997
1.80632,2.15975,16.16000,16.15996
1.88486,2.23829,16.16002,16.16001
1.96340,2.31683,16.16000,16.16002
2.04194,2.39537,16.16003,16.16002
2.12048,2.47391,16.16003,16.16001
2.19902,2.55245,16.15999,16.15996
2.27756,2.63099,16.16004,16.15997
2.35610,2.70953,16.15994,16.16001
2.43464,2.78807,16.16004,16.16003
2.51318,2.86661,16.15999,16.16002
2.59172,2.94515,16.16003,16.16001
2.67026,3.02369,16.16003,16.16001
2.74880,3.10223,16.16000,16.15996
2.82734,3.18077,16.16002,16.15996
2.90588,3.25931,16.16000,16.16001
2.98442,3.33785,16.15996,16.16001
