east_phi,west_phi
-0.79285,-0.79285
-0.73675,-0.73675
-0.68065,-0.68065
-0.62455,-0.62455
-0.56845,-0.56845
-0.51235,-0.51235
-0.45625,-0.45625
-0.40015,-0.40015
-0.34405,-0.34405
-0.28795,-0.28795
-0.23185,-0.23185
-0.17575,-0.17575
-0.11965,-0.11965
-0.06356,-0.06356
-0.00746,-0.00746
0.04864,0.04864
0.10474,0.10474
0.16084,0.16084
0.21694,0.21694
0.27304,0.27304
0.32914,0.32914
0.38524,0.38524
0.44134,0.44134
0.49744,0.49744
0.55354,0.55354
0.60964,0.60964
0.66574,0.66574
0.72184,0.72184
0.77794,0.77794
0.83404,0.83404
0.89014,0.89014
0.94624,0.94624
1.00234,1.00234
1.05844,1.05844
1.11454,1.11454
1.17064,1.17064
1.22674,1.22674
1.28284,1.28284
1.33894,1.33894
1.39504,1.39504
1.45114,1.45114
1.50724,1.50724
1.56334,1.56334
-1.52215,-1.52215
-1.46605,-1.46605
-1.40995,-1.40995
-1.35385,-1.35385
-1.29775,-1.29775
-1.24165,-1.24165
-1.18555,-1.18555
-1.12945,-1.12945
-1.07335,-1.07335
-1.01725,-1.01725
-0.96115,-0.96115
-0.90505,-0.90505
-0.84895,-0.84895
-0.79285,-0.79285
-0.73675,-0.73675
-0.68065,-0.68065
-0.62455,-0.62455
-0.56845,-0.56845
-0.51235,-0.51235
-0.45625,-0.45625
-0.40015,-0.40015
-0.34405,-0.34405
-0.28795,-0.28795
-0.23185,-0.23185
-0.17575,-0.17575
-0.11965,-0.11965
-0.06356,-0.06356
-0.00746,-0.00746
0.02059,0.02059
0.07669,0.07669
0.13279,0.13279
0.18889,0.18889
0.24499,0.24499
0.30109,0.30109
0.35719,0.35719
0.41330,0.41330
0.46940,0.46940
0.52549,0.52549
0.58159,0.58159
0.63769,0.63769
0.69379,0.69379
0.74989,0.74989
0.80599,0.80599
0.86209,0.86209
0.91819,0.91819
0.97429,0.97429
1.03039,1.03039
1.08649,1.08649
1.14259,1.14259
1.19869,1.19869
1.25479,1.25479
1.31089,1.31089
1.36699,1.36699
1.42309,1.42309
1.47919,1.47919
1.53529,1.53529
-1.55020,-1.55020
-1.49410,-1.49410
-1.43800,-1.43800
-1.38190,-1.38190
-1.32580,-1.32580
-1.26970,-1.26970
-1.21360,-1.21360
-1.15750,-1.15750
-1.10140,-1.10140
-1.04530,-1.04530
-0.98920,-0.98920
-0.93310,-0.93310
-0.87700,-0.87700
-0.82090,-0.82090
-0.76480,-0.76480
-0.70870,-0.70870
-0.65260,-0.65260
-0.59650,-0.59650
-0.54040,-0.54040
-0.48430,-0.48430
-0.42820,-0.42820
-0.37210,-0.37210
-0.31600,-0.31600
-0.25990,-0.25990
-0.20380,-0.20380
-0.14770,-0.14770
-0.09160,-0.09160
-0.03550,-0.03550
0.02059,0.02059
0.07669,0.07669
0.13279,0.13279
0.18889,0.18889
0.24499,0.24499
0.30109,0.30109
0.35719,0.35719
0.41330,0.41330
0.46940,0.46940
0.52549,0.52549
0.58159,0.58159
0.63769,0.63769
0.69379,0.69379
0.74989,0.74989
0.80599,0.80599
0.86209,0.86209
0.91819,0.91819
0.97429,0.97429
1.03039,1.03039
1.08649,1.08649
1.14259,1.14259
1.19869,1.19869
1.25479,1.25479
1.31089,1.31089
1.36699,1.36699
1.42309,1.42309
1.47919,1.47919
1.53529,1.53529
-1.55020,-1.55020
-1.49410,-1.49410
-1.43800,-1.43800
-1.38190,-1.38190
-1.32580,-1.32580
-1.26970,-1.26970
-1.21360,-1.21360
-1.15750,-1.15750
-1.10140,-1.10140
-1.04530,-1.04530
-0.98920,-0.98920
-0.93310,-0.93310
-0.87700,-0.87700
-0.82090,-0.82090
-0.76480,-0.76480
-0.70870,-0.70870
-0.65260,-0.65260
-0.59650,-0.59650
-0.54040,-0.54040
-0.48430,-0.48430
-0.42820,-0.42820
-0.37210,-0.37210
-0.31600,-0.31600
-0.25990,-0.25990
-0.20380,-0.20380
-0.14770,-0.14770
-0.09160,-0.09160
-0.03550,-0.03550
0.02454,0.02454
0.07363,0.07363
0.12272,0.12272
0.17181,0.17181
0.22089,0.22089
0.26998,0.26998
0.31907,0.31907
0.36816,0.36816
0.41724,0.41724
0.46633,0.46633
0.51542,0.51542
0.56451,0.56451
0.61359,0.61359
0.66268,0.66268
0.71177,0.71177
0.76086,0.76086
0.80994,0.80994
0.85903,0.85903
0.90812,0.90812
0.95720,0.95720
1.00629,1.00629
1.05538,1.05538
1.10447,1.10447
1.15355,1.15355
1.20264,1.20264
1.25173,1.25173
1.30082,1.30082
1.34990,1.34990
1.39899,1.39899
1.44808,1.44808
1.49717,1.49717
1.54625,1.54625
-1.54625,-1.54625
-1.49717,-1.49717
-1.44808,-1.44808
-1.39899,-1.39899
-1.34990,-1.34990
